x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2015,Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",6825,12880,52.99,M6-002
2015,Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",1455,12880,11.3,M5-003
2015,Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",468,12880,3.63,M5-017
2015,Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",377,12880,2.93,M4-023
2015,Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",79,12880,0.61,M5-005
2015,Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",70,12880,0.54,M4-011
2015,Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists",46,12880,0.36,M3-007
2015,Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",45,12880,0.35,M5-012
2015,Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, β-lactam combination agents",33,12880,0.26,M4-004
2015,Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists",33,12880,0.26,M3-026
2015,Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",28,12880,0.22,M4-025
2015,Acinetobacter baumannii,"Carbapenems, Cephalosporins, β-lactam combination agents",24,12880,0.19,M3-019
2015,Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, β-lactam combination agents",22,12880,0.17,M4-013
2015,Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",19,12880,0.15,M5-001
2015,Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",19,12880,0.15,M4-015
2015,Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists",18,12880,0.14,M3-017
2015,Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",15,12880,0.12,M5-008
2015,Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins",12,12880,0.09,M3-001
2015,Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, β-lactam combination agents",12,12880,0.09,M3-009
2015,Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, β-lactam combination agents",12,12880,0.09,M3-028
2015,Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",10,12880,0.08,M4-032
2015,Acinetobacter baumannii,"Aminoglycosides, Carbapenems, β-lactam combination agents",9,12880,0.07,M3-005
2015,Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones",9,12880,0.07,M3-006
2015,Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",9,12880,0.07,M4-028
2015,Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists",8,12880,0.06,M4-002
2015,Acinetobacter baumannii,"Cephalosporins, Folate pathway antagonists, β-lactam combination agents",8,12880,0.06,M3-030
2015,Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists",6,12880,0.05,M3-010
2015,Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",5,12880,0.04,M4-021
2015,Acinetobacter baumannii,"Carbapenems, Folate pathway antagonists, β-lactam combination agents",5,12880,0.04,M3-024
2015,Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones",4,12880,0.03,M4-001
